Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
171,HY,Industrials,Farm & Heavy Construction Machinery,NYSE,154.8,97,96,57,24
172,HGBL,Financial Services,Capital Markets,NASDAQ,154.79,97,97,98,73
173,AMYT,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,154.34,97,99,98,46
174,AI,Technology,Information Technology Services,NYSE,154.29,97,96,16,12
175,CTSO,Healthcare,Medical Devices,NASDAQ,154.13,97,98,52,17
176,CROX,Consumer Cyclical,Footwear & Accessories,NASDAQ,154.13,97,96,97,65
177,BLBD,Consumer Cyclical,Auto Manufacturers,NASDAQ,154.0,97,97,96,17
178,PTGX,Healthcare,Biotechnology,NASDAQ,153.79,97,99,70,13
179,ATEC,Healthcare,Medical Devices,NASDAQ,153.48,97,98,93,73
180,IVDA,Industrials,Security & Protection Services,NASDAQ,153.45,97,50,9,4
181,VRCA,Healthcare,Biotechnology,NASDAQ,153.36,97,98,91,15
182,PDFS,Technology,Software—Application,NASDAQ,153.31,97,95,91,62
183,LVO,Communication Services,Entertainment,NASDAQ,153.2,97,86,32,25
184,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,153.05,97,94,90,26
185,IAG,Basic Materials,Gold,NYSE,153.03,97,88,98,13
186,SCWO,Industrials,Pollution & Treatment Controls,NASDAQ,152.87,97,91,27,98
187,RLX,Consumer Defensive,Tobacco,NYSE,152.87,97,95,97,8
188,CECO,Industrials,Pollution & Treatment Controls,NASDAQ,152.73,97,98,99,99
189,POWL,Industrials,Electrical Equipment & Parts,NASDAQ,152.31,97,97,98,58
190,PXS,Industrials,Marine Shipping,NASDAQ,152.19,97,96,98,98
191,CSPI,Technology,Information Technology Services,NASDAQ,151.84,97,95,92,56
192,IAS,Communication Services,Advertising Agencies,NASDAQ,151.81,97,91,37,18
193,OEC,Basic Materials,Specialty Chemicals,NYSE,151.6,97,94,92,48
194,IPAR,Consumer Defensive,Household & Personal Products,NASDAQ,151.57,97,97,94,70
195,MOD,Consumer Cyclical,Auto Parts,NYSE,151.55,97,98,99,97
196,LYTS,Technology,Electronic Components,NASDAQ,151.15,97,97,98,96
197,MAXR,Technology,Communication Equipment,NYSE,151.15,97,99,99,27
198,CARS,Consumer Cyclical,Auto & Truck Dealerships,NYSE,150.75,97,95,88,85
199,PARR,Energy,Oil & Gas Refining & Marketing,NYSE,150.71,97,97,94,94
200,OSPN,Technology,Software—Infrastructure,NASDAQ,150.71,97,96,79,22
201,ONON,Consumer Cyclical,Apparel Retail,NYSE,150.53,97,78,53,27
202,KLXE,Energy,Oil & Gas Equipment & Services,NASDAQ,150.48,97,96,99,99
203,OMER,Healthcare,Biotechnology,NASDAQ,150.25,97,92,12,29
204,NEO,Healthcare,Diagnostics & Research,NASDAQ,150.2,97,97,68,17
205,MEC,Industrials,Metal Fabrication,NYSE,150.13,97,95,98,24
206,XPOF,Consumer Cyclical,Leisure,NYSE,150.01,97,95,95,95
207,PBT,Energy,Oil & Gas Midstream,NYSE,149.97,97,93,96,98
208,ERJ,Industrials,Aerospace & Defense,NYSE,149.85,97,96,88,38
209,EHTH,Financial Services,Insurance Brokers,NASDAQ,149.68,97,95,79,2
210,BSGM,Healthcare,Medical Devices,NASDAQ,149.34,96,97,33,22
211,CTIB,Consumer Cyclical,Specialty Retail,NASDAQ,149.21,96,99,97,22
212,VMD,Healthcare,Medical Devices,NASDAQ,149.13,96,97,95,68
213,HBIO,Healthcare,Medical Instruments & Supplies,NASDAQ,149.08,96,20,25,11
214,ITI,Technology,Communication Equipment,NASDAQ,148.89,96,97,85,50
215,STNG,Energy,Oil & Gas Midstream,NYSE,148.69,96,98,98,99
216,SMTI,Healthcare,Medical Instruments & Supplies,NASDAQ,148.68,96,95,97,88
217,AAON,Industrials,Building Products & Equipment,NASDAQ,148.57,96,96,94,64
218,DUOL,Technology,Software—Application,NASDAQ,148.06,96,97,24,52
219,GRTX,Healthcare,Biotechnology,NASDAQ,147.83,96,81,68,42
220,MLCO,Consumer Cyclical,Resorts & Casinos,NASDAQ,147.39,96,98,99,50
221,SPOK,Healthcare,Health Information Services,NASDAQ,147.28,96,93,74,72
222,SOPH,Healthcare,Health Information Services,NASDAQ,147.26,96,91,26,6
223,OSUR,Healthcare,Medical Instruments & Supplies,NASDAQ,147.05,96,96,87,41
224,APLS,Healthcare,Biotechnology,NASDAQ,146.98,96,93,67,97
225,IOT,Technology,Software—Infrastructure,NYSE,146.92,96,97,24,22
226,OSH,Healthcare,Medical Care Facilities,NYSE,146.8,96,98,91,34
227,DCTH,Healthcare,Medical Devices,NASDAQ,146.49,96,83,29,13
228,FOUR,Technology,Software—Infrastructure,NYSE,146.05,96,96,93,68
229,SUMO,Technology,Software—Infrastructure,NASDAQ,145.97,96,95,35,33
230,NRDY,Technology,Software—Application,NYSE,145.85,96,90,41,23
231,AVDL,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,145.72,96,98,88,88
232,OMAB,Industrials,Airports & Air Services,NASDAQ,145.58,96,95,92,90
233,ATXS,Healthcare,Biotechnology,NASDAQ,145.5,96,98,99,99
234,NRDS,Financial Services,Credit Services,NASDAQ,145.44,96,98,40,67
235,GRBK,Consumer Cyclical,Residential Construction,NYSE,145.24,96,94,88,66
236,CPRX,Healthcare,Biotechnology,NASDAQ,145.03,96,95,99,99
237,BELFB,Technology,Electronic Components,NASDAQ,144.98,96,96,98,99
238,PEN,Healthcare,Medical Devices,NYSE,144.88,96,95,91,89
239,FTI,Energy,Oil & Gas Equipment & Services,NYSE,144.78,96,97,97,97
240,PACB,Healthcare,Medical Devices,NASDAQ,144.75,96,91,97,62
241,AGI,Basic Materials,Gold,NYSE,144.63,96,91,95,72
242,ARRY,Technology,Solar,NASDAQ,144.6,96,92,98,95
243,LNTH,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,144.53,96,90,48,99
244,YEXT,Technology,Software—Infrastructure,NYSE,144.53,96,97,88,27
245,NVTS,Technology,Semiconductors,NASDAQ,144.5,96,90,23,16
246,GE,Industrials,Specialty Industrial Machinery,NYSE,144.02,96,96,93,45
247,AGYS,Technology,Software—Application,NASDAQ,143.81,96,97,98,94
248,GENC,Industrials,Farm & Heavy Construction Machinery,NYSE MKT,143.74,96,94,73,59
249,OSG,Energy,Oil & Gas Midstream,NYSE,143.74,96,95,96,98
250,ATRO,Industrials,Aerospace & Defense,NASDAQ,143.63,96,90,79,27
251,WING,Consumer Cyclical,Restaurants,NASDAQ,143.11,96,95,91,73
252,SJ,Communication Services,Broadcasting,NASDAQ,143.0,96,94,24,4
253,CRBP,Healthcare,Biotechnology,NASDAQ,142.73,96,4,12,3
254,SOUN,Technology,Software—Application,NASDAQ,142.61,96,43,1,19
255,TRX,Basic Materials,Gold,NYSE MKT,142.31,96,91,69,73
256,SCYX,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,142.26,96,8,11,56
257,GREEL,n/a,n/a,NASDAQ,142.18,96,99,1,7
258,FLNC,Utilities,Utilities—Renewable,NASDAQ,142.03,96,95,98,70
259,CIR,Industrials,Specialty Industrial Machinery,NYSE,141.75,96,86,95,49
260,DSEY,Consumer Cyclical,Personal Services,NASDAQ,141.64,96,93,25,11
261,XERS,Healthcare,Biotechnology,NASDAQ,141.64,96,16,15,22
262,KTCC,Technology,Computer Hardware,NASDAQ,141.58,96,94,58,37
263,MSTR,Technology,Software—Application,NASDAQ,141.52,96,51,18,15
264,IPDN,Industrials,Staffing & Employment Services,NASDAQ,141.5,96,98,97,75
265,AU,Basic Materials,Gold,NYSE,141.23,96,81,95,40
266,SPNT,Financial Services,Insurance—Reinsurance,NYSE,141.13,96,91,83,53
267,ELOX,Healthcare,Biotechnology,NASDAQ,140.96,96,8,4,5
268,FANH,Financial Services,Insurance Brokers,NASDAQ,140.85,96,94,89,37
269,FTAI,Industrials,Rental & Leasing Services,NASDAQ,140.66,96,94,87,34
270,NVEC,Technology,Semiconductors,NASDAQ,140.66,96,95,96,55
271,ARCT,Healthcare,Biotechnology,NASDAQ,140.48,96,49,52,23
272,EDTK,Consumer Defensive,Education & Training Services,NASDAQ,140.47,96,97,96,55
273,PKX,Basic Materials,Steel,NYSE,140.42,96,89,89,44
274,ASXC,Healthcare,Medical Devices,NYSE MKT,140.33,96,93,44,23
275,KUKE,Communication Services,Entertainment,NYSE,140.2,96,85,8,1
276,CDTX,Healthcare,Biotechnology,NASDAQ,140.15,96,99,97,30
277,SKYH,Industrials,Aerospace & Defense,NYSE MKT,139.91,96,98,26,8
278,BBW,Consumer Cyclical,Specialty Retail,NYSE,139.77,96,90,96,49
279,IREN,Financial Services,Capital Markets,NASDAQ,139.75,96,64,2,13
280,OI,Consumer Cyclical,Packaging & Containers,NYSE,139.71,95,96,95,93
281,WYNN,Consumer Cyclical,Resorts & Casinos,NASDAQ,139.68,95,96,97,36
282,ASO,Consumer Cyclical,Specialty Retail,NASDAQ,139.68,95,95,93,90
283,NSIT,Technology,Electronics & Computer Distribution,NASDAQ,139.67,95,95,86,61
284,AMK,Financial Services,Asset Management,NYSE,139.59,95,95,90,52
285,NMTC,Healthcare,Medical Devices,NASDAQ,139.55,95,26,39,94
286,MANU,Communication Services,Entertainment,NYSE,139.42,95,95,98,74
287,MELI,Consumer Cyclical,Internet Retail,NASDAQ,139.4,95,95,82,50
288,INSW,Energy,Oil & Gas Midstream,NYSE,139.37,95,97,97,99
289,CTXR,Healthcare,Biotechnology,NASDAQ,139.36,95,32,25,64
290,ESP,Industrials,Electrical Equipment & Parts,NYSE MKT,139.16,95,95,76,76
291,COTY,Consumer Defensive,Household & Personal Products,NYSE,139.11,95,95,90,46
292,HNRG,Energy,Thermal Coal,NASDAQ,139.11,95,93,98,98
293,STVN,Healthcare,Medical Instruments & Supplies,NYSE,139.08,95,95,76,89
294,FNGU,Exchange Traded Fund,USA,NYSE ARCA,138.89,95,35,11,4
295,ALVO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,138.55,95,96,96,35
296,CMPR,Communication Services,Advertising Agencies,NASDAQ,138.41,95,59,25,11
297,FICO,Technology,Software—Application,NYSE,138.41,95,95,95,66
298,DO,Energy,Oil & Gas Drilling,NYSE,138.14,95,94,96,95
299,PPSI,Industrials,Electrical Equipment & Parts,NASDAQ,138.04,95,27,23,25
300,PLYA,Consumer Cyclical,Resorts & Casinos,NASDAQ,138.0,95,93,68,35
301,HOV,Consumer Cyclical,Residential Construction,NYSE,137.34,95,94,48,19
302,ARAV,Healthcare,Biotechnology,NASDAQ,137.29,95,94,97,16
303,CVT,Technology,Software—Application,NASDAQ,136.91,95,95,33,44
304,BLDR,Industrials,Building Products & Equipment,NYSE,136.62,95,92,73,60
305,XM,Technology,Software—Application,NASDAQ,136.6,95,95,18,12
306,GALT,Healthcare,Biotechnology,NASDAQ,136.55,95,94,14,50
307,DRD,Basic Materials,Gold,NYSE,136.43,95,68,93,32
308,IMMR,Technology,Software—Application,NASDAQ,136.43,95,90,96,65
309,WINA,Consumer Cyclical,Specialty Retail,NASDAQ,136.42,95,92,85,90
310,VIPS,Consumer Cyclical,Internet Retail,NYSE,136.38,95,96,98,47
311,CAAP,Industrials,Airports & Air Services,NYSE,136.25,95,96,96,97
312,JILL,Consumer Cyclical,Apparel Retail,NYSE,136.22,95,94,96,92
313,BBVA,Financial Services,Banks—Diversified,NYSE,136.11,95,94,95,67
314,MG,Industrials,Security & Protection Services,NYSE,136.09,95,85,32,25
315,ACLX,Healthcare,Biotechnology,NASDAQ,135.85,95,92,98,90
316,ASM,Basic Materials,Other Precious Metals & Mining,NYSE MKT,135.69,95,60,88,47
317,SGEN,Healthcare,Biotechnology,NASDAQ,135.65,95,96,32,54
318,RDNT,Healthcare,Diagnostics & Research,NASDAQ,135.57,95,88,40,50
319,OR,Basic Materials,Gold,NYSE,135.55,95,87,86,59
320,DNMR,Basic Materials,Specialty Chemicals,NYSE,135.44,95,25,8,6
321,MTW,Industrials,Farm & Heavy Construction Machinery,NYSE,135.17,95,97,80,18
322,UFPT,Healthcare,Medical Devices,NASDAQ,135.13,95,92,96,95
323,GLOP,Energy,Oil & Gas Midstream,NYSE,134.99,95,95,90,98
324,SOBR,Technology,Scientific & Technical Instruments,NASDAQ,134.81,95,98,4,97
325,EGO,Basic Materials,Gold,NYSE,134.8,95,90,89,34
326,CHUY,Consumer Cyclical,Restaurants,NASDAQ,134.78,95,94,93,83
327,NABL,Technology,Information Technology Services,NYSE,134.74,95,84,56,79
328,SQSP,Technology,Software—Infrastructure,NYSE,134.68,95,91,40,52
329,DECK,Consumer Cyclical,Footwear & Accessories,NYSE,134.62,95,93,94,93
330,SVC,Real Estate,REIT—Hotel & Motel,NASDAQ,134.56,95,95,77,65
331,BTBD,Consumer Cyclical,Restaurants,NASDAQ,134.56,95,92,20,31
